Orthogroup	Arabidopsis_thaliana	Avena_sativa	Brachypodium_distachyon	Hordeum_vulgare	Oryza_sativa	Sorghum_bicolor	Triticum_aestivum	Triticum_turgidum	Zea_mays
OG0031247					Os01g0797200				
OG0031248									Zm00001eb310150_P001
OG0031249									Zm00001eb048490_P002
OG0031250		AVESA.00018a.r1.2CG01419470.1							
OG0031251							TraesCS6B03G0030000.1		
OG0031252							TraesCS6B03G0058300.1		
OG0031253									Zm00001eb357080_P001
OG0031254					Os05g0143101				
OG0031255			Bradi1g45666.1.p						
OG0031256						SORBI_3001G273875			
OG0031257							TraesCS6A03G0488700.1		
OG0031258	AT5G18933.1								
OG0031259					Os05g0507400				
OG0031260							TraesCS2B03G1376200.1		
OG0031261							TraesCS2B03G0861500.1		
OG0031262							TraesCS2D03G0052900.1		
OG0031263		AVESA.00018a.r1.1AG00133930.1							
OG0031264						SORBI_3001G040701			
OG0031265					Os03g0442250				
OG0031266			Bradi1g69824.1.p						
OG0031267	AT5G48200.1								
OG0031268		AVESA.00018a.r1.5AG03837690.1							
OG0031269	AT1G32415.1								
OG0031270						SORBI_3006G267950			
OG0031271			Bradi5g24686.1.p						
OG0031272							TraesCS5D03G0038000.1		
OG0031273		AVESA.00018a.r1.6AG04669080.1							
OG0031274							TraesCS6D03G0205700.1		
OG0031275							TraesCS6B03G0707600.1		
OG0031276			Bradi1g67755.1.p						
OG0031277				HORVU.MOREX.r3.3HG0282010.1					
OG0031278							TraesCS5D03G1175500.1		
OG0031279							TraesCS6B03G0173000.1		
OG0031280									Zm00001eb382870_P001
OG0031281								TRITD7Av1G213920.1	
OG0031282			Bradi1g71673.2.p						
OG0031283		AVESA.00018a.r1.5AG03919420.1							
OG0031284					Os09g0367633				
OG0031285					Os01g0907000				
OG0031286						SORBI_3001G087201			
OG0031287							TraesCS6B03G0886500.1		
OG0031288								TRITD3Bv1G269250.1	
OG0031289	AT1G13610.1								
OG0031290								TRITD6Av1G224370.1	
OG0031291							TraesCSU03G0169100.1		
OG0031292	AT3G58550.1								
OG0031293			Bradi1g43975.1.p						
OG0031294									Zm00001eb422390_P001
OG0031295			Bradi2g16875.2.p						
OG0031296		AVESA.00018a.r1.3AG01862950.1							
OG0031297					Os01g0520020				
OG0031298									Zm00001eb206160_P001
OG0031299					Os08g0289133				
OG0031300						SORBI_3007G061300			
OG0031301									Zm00001eb009090_P002
OG0031302		AVESA.00018a.r1.6AG04809320.1							
OG0031303	AT3G05150.2								
OG0031304			Bradi3g19643.1.p						
OG0031305									Zm00001eb113800_P001
OG0031306	AT3G48344.1								
OG0031307					Os10g0404533				
OG0031308	AT5G01017.1								
OG0031309					Os07g0570575				
OG0031310									Zm00001eb273170_P001
OG0031311			Bradi2g22221.1.p						
OG0031312								TRITD7Av1G177890.1	
OG0031313			Bradi4g14637.1.p						
OG0031314				HORVU.MOREX.r3.5HG0510600.1					
OG0031315	AT5G46025.1								
OG0031316					Os11g0243750				
OG0031317			Bradi3g44891.1.p						
OG0031318					Os08g0409700				
OG0031319						SORBI_3005G129501			
OG0031320						SORBI_3007G142400			
OG0031321									Zm00001eb140880_P001
OG0031322					Os04g0502050				
OG0031323						SORBI_3003G351800			
OG0031324	AT1G33640.1								
OG0031325							TraesCS3A03G0460600.1		
OG0031326					Os08g0219880				
OG0031327					Os09g0316300				
OG0031328						SORBI_3003G407500			
OG0031329					Os05g0533800				
OG0031330			Bradi2g57389.1.p						
OG0031331						SORBI_3009G217700			
OG0031332					Os04g0584750				
OG0031333							TraesCS2D03G0928800.1		
OG0031334		AVESA.00018a.r1.5AG03854960.1							
OG0031335				HORVU.MOREX.r3.6HG0569900.1					
OG0031336						SORBI_3010G011700			
OG0031337							TraesCS7A03G0770100.3		
OG0031338									Zm00001eb363930_P001
OG0031339		AVESA.00018a.r1.5DG04537300.1							
OG0031340	AT5G52050.1								
OG0031341		AVESA.00018a.r1.4DG03601350.1							
OG0031342			Bradi1g44465.1.p						
OG0031343			Bradi2g17883.1.p						
OG0031344							TraesCS7D03G1019400.1		
OG0031345						SORBI_3002G102600			
OG0031346							TraesCS1D03G0181500.1		
OG0031347			Bradi3g17776.1.p						
OG0031348		AVESA.00018a.r1.1DG00769080.1							
OG0031349					Os01g0767200				
OG0031350		AVESA.00018a.r1.7CG05797160.1							
OG0031351		AVESA.00018a.r1.1AG00198120.1							
OG0031352					Os01g0375033				
OG0031353									Zm00001eb103710_P001
OG0031354							TraesCS2B03G1510700.1		
OG0031355									Zm00001eb244630_P002
OG0031356			Bradi1g67081.1.p						
OG0031357			Bradi2g48663.1.p						
OG0031358	AT1G43970.1								
OG0031359					Os09g0135900				
OG0031360		AVESA.00018a.r1.3CG02058740.1							
OG0031361							TraesCS6D03G0914800.1		
OG0031362						SORBI_3005G197200			
OG0031363		AVESA.00018a.r1.7DG06003120.1							
OG0031364							TraesCS3D03G0478000.1		
OG0031365			Bradi2g28133.1.p						
OG0031366		AVESA.00018a.r1.1CG00387120.1							
OG0031367			Bradi2g25843.1.p						
OG0031368					Os06g0122900				
OG0031369					Os07g0185401				
OG0031370					Os01g0283300				
OG0031371						SORBI_3002G427050			
OG0031372			Bradi3g19185.1.p						
OG0031373					Os12g0467400				
OG0031374		AVESA.00018a.r1.1DG00879780.1							
OG0031375			Bradi3g27203.1.p						
OG0031376					Os09g0447900				
OG0031377					Os03g0140650				
OG0031378			Bradi2g58626.1.p						
OG0031379			Bradi3g37493.1.p						
OG0031380					Os10g0532901				
OG0031381							TraesCS1D03G0934800.1		
OG0031382							TraesCS1D03G0337400.1		
OG0031383								TRITD6Av1G022000.4	
OG0031384			Bradi4g34933.1.p						
OG0031385					Os09g0125633				
OG0031386								TRITD7Av1G252410.1	
OG0031387								TRITD1Av1G060490.1	
OG0031388							TraesCS1A03G0503700.1		
OG0031389							TraesCS2A03G0436100.1		
OG0031390					Os10g0453350				
OG0031391			Bradi3g41507.1.p						
OG0031392					Os05g0453000				
OG0031393						SORBI_3002G084100			
OG0031394	AT3G27025.1								
OG0031395							TraesCS1B03G1186700.1		
OG0031396					Os09g0478866				
OG0031397						SORBI_3002G096900			
OG0031398							TraesCS3D03G1087500.1		
OG0031399							TraesCS2A03G0605700.1		
OG0031400							TraesCS5A03G1086200.1		
OG0031401			Bradi4g29095.1.p						
OG0031402	AT2G07684.1								
OG0031403							TraesCS7A03G1373000.1		
OG0031404			Bradi4g29075.1.p						
OG0031405					Os11g0180800				
OG0031406						SORBI_3003G238750			
OG0031407						SORBI_3006G007650			
OG0031408	AT5G22210.1								
OG0031409						SORBI_3006G252532			
OG0031410					Os02g0716025				
OG0031411						SORBI_3010G241450			
OG0031412							TraesCS6B03G0646800.1		
OG0031413		AVESA.00018a.r1.2DG01572100.1							
OG0031414	AT1G35516.2								
OG0031415						SORBI_3002G013550			
OG0031416									Zm00001eb210910_P001
OG0031417	AT5G10946.2								
OG0031418	AT2G43450.1								
OG0031419			Bradi3g09412.1.p						
OG0031420						SORBI_3008G068500			
OG0031421		AVESA.00018a.r1.7CG05955650.1							
OG0031422					Os05g0564350				
OG0031423					Os01g0636900				
OG0031424								TRITD3Av1G021350.2	
OG0031425							TraesCS1B03G0108400.1		
OG0031426					Os05g0506900				
OG0031427			Bradi4g04725.1.p						
OG0031428			Bradi2g11591.1.p						
OG0031429								TRITD4Av1G053230.5	
OG0031430								TRITD5Bv1G221990.1	
OG0031431							TraesCS5D03G1166800.1		
OG0031432									Zm00001eb350850_P001
OG0031433						SORBI_3003G373700			
OG0031434	AT5G62160.1								
OG0031435						SORBI_3001G067900			
OG0031436	AT1G15885.1								
OG0031437	AT1G55180.1								
OG0031438							TraesCS7B03G0987100.1		
OG0031439	AT5G57535.1								
OG0031440									Zm00001eb002480_P001
OG0031441	AT3G19660.1								
OG0031442		AVESA.00018a.r1.2DG01766360.1							
OG0031443							TraesCS1D03G0694900.1		
OG0031444			Bradi1g42333.1.p						
OG0031445					Os01g0823200				
OG0031446							TraesCS2B03G1196000.1		
OG0031447	AT5G49520.1								
OG0031448		AVESA.00018a.r1.1CG00556890.1							
OG0031449							TraesCS7B03G1285600.1		
OG0031450		AVESA.00018a.r1.2CG01352640.1							
OG0031451			Bradi3g20725.1.p						
OG0031452							TraesCS7A03G0016500.1		
OG0031453				HORVU.MOREX.r3.2HG0111700.1					
OG0031454					Os10g0482000				
OG0031455								TRITD0Uv1G105910.1	
OG0031456						SORBI_3003G392350			
OG0031457							TraesCS6D03G0042000.1		
OG0031458									Zm00001eb239880_P001
OG0031459		AVESA.00018a.r1.6CG04894140.1							
OG0031460			Bradi2g04844.1.p						
OG0031461			Bradi2g31865.1.p						
OG0031462		AVESA.00018a.r1.4AG02668990.1							
OG0031463		AVESA.00018a.r1.7AG05509190.1							
OG0031464									Zm00001eb201670_P001
OG0031465		AVESA.00018a.r1.4DG03635440.1							
OG0031466									Zm00001eb090360_P001
OG0031467					Os06g0620100				
OG0031468					Os02g0707051				
OG0031469			Bradi1g53645.1.p						
OG0031470						SORBI_3005G160000			
OG0031471					Os11g0598750				
OG0031472					Os02g0474300				
OG0031473									Zm00001eb174900_P001
OG0031474	AT3G43432.1								
OG0031475				HORVU.MOREX.r3.3HG0320000.1					
OG0031476		AVESA.00018a.r1.2DG01483750.1							
OG0031477						SORBI_3007G078700			
OG0031478									Zm00001eb068940_P001
OG0031479					Os04g0341650				
OG0031480			Bradi5g26711.1.p						
OG0031481					Os09g0553400				
OG0031482									Zm00001eb069030_P001
OG0031483		AVESA.00018a.r1.5DG04288870.1							
OG0031484									Zm00001eb175260_P001
OG0031485	AT1G44895.1								
OG0031486								TRITD3Av1G160260.1	
OG0031487					Os03g0407050				
OG0031488			Bradi3g26040.1.p						
OG0031489					Os08g0305250				
OG0031490									Zm00001eb184390_P001
OG0031491		AVESA.00018a.r1.2DG01628370.1							
OG0031492					Os07g0586400				
OG0031493						SORBI_3004G127733			
OG0031494					Os06g0347200				
OG0031495						SORBI_3007G018601			
OG0031496			Bradi1g14421.1.p						
OG0031497					Os03g0698500				
OG0031498								TRITD7Av1G011650.1	
OG0031499									Zm00001eb099180_P001
OG0031500									Zm00001eb060060_P001
OG0031501									Zm00001eb136380_P001
OG0031502		AVESA.00018a.r1.6AG04743020.1							
OG0031503					Os04g0294100				
OG0031504			Bradi4g21601.2.p						
OG0031505	AT1G68630.1								
OG0031506					Os04g0550900				
OG0031507			Bradi1g47743.1.p						
OG0031508					Os09g0399901				
OG0031509								TRITD1Bv1G152020.1	
OG0031510						SORBI_3003G075632			
OG0031511	AT4G13620.1								
OG0031512			Bradi4g05375.1.p						
OG0031513					Os10g0183150				
OG0031514					Os07g0575733				
OG0031515						SORBI_3005G076700			
OG0031516			Bradi1g60902.1.p						
OG0031517	AT5G12043.1								
OG0031518					Os11g0270700				
OG0031519					Os11g0527100				
OG0031520					Os01g0731201				
OG0031521			Bradi1g55822.1.p						
OG0031522						SORBI_3008G077400			
OG0031523					Os09g0244400				
OG0031524						SORBI_3010G214150			
OG0031525						SORBI_3005G143800			
OG0031526			Bradi3g32653.1.p						
OG0031527		AVESA.00018a.r1.7CG05718390.1							
OG0031528						SORBI_3009G013200			
OG0031529								TRITD7Bv1G223550.1	
OG0031530							TraesCS3B03G0303600.1		
OG0031531							TraesCS2A03G0426500.5		
OG0031532		AVESA.00018a.r1.6CG05040640.1							
OG0031533							TraesCS2A03G1188100.1		
OG0031534		AVESA.00018a.r1.3DG02592200.1							
OG0031535									Zm00001eb181600_P001
OG0031536					Os01g0904100				
OG0031537					Os04g0311700				
OG0031538									Zm00001eb184740_P001
OG0031539	AT2G06675.1								
OG0031540		AVESA.00018a.r1.2AG01116800.1							
OG0031541							TraesCS3B03G0924900.2		
OG0031542						SORBI_3010G105900			
OG0031543								TRITD6Bv1G222760.11	
OG0031544						SORBI_3003G338300			
OG0031545					Os06g0585900				
OG0031546	AT2G22080.1								
OG0031547				HORVU.MOREX.r3.7HG0649590.1					
OG0031548	AT1G74675.1								
OG0031549						SORBI_3002G334700			
OG0031550					Os02g0499350				
OG0031551							TraesCS5B03G0087800.1		
OG0031552						SORBI_3009G091200			
OG0031553						SORBI_3007G110366			
OG0031554								TRITD3Av1G056550.1	
OG0031555					Os02g0629332				
OG0031556		AVESA.00018a.r1.1AG00174170.1							
OG0031557					Os01g0731700				
OG0031558		AVESA.00018a.r1.2DG01779060.1							
OG0031559	AT5G11020.1								
OG0031560	AT2G41505.1								
OG0031561									Zm00001eb215340_P001
OG0031562					Os11g0457700				
OG0031563			Bradi5g13185.1.p						
OG0031564		AVESA.00018a.r1.2DG01732020.2							
OG0031565		AVESA.00018a.r1.6CG04926290.1							
OG0031566			Bradi3g06406.1.p						
OG0031567						SORBI_3005G055300			
OG0031568					Os05g0367600				
OG0031569					Os04g0306550				
OG0031570		AVESA.00018a.r1.1AG00251870.1							
OG0031571							TraesCS6B03G0797300.1		
OG0031572									Zm00001eb413090_P001
OG0031573	AT1G11850.2								
OG0031574								TRITD1Bv1G015210.1	
OG0031575			Bradi2g59093.1.p						
OG0031576		AVESA.00018a.r1.4DG03351270.1							
OG0031577			Bradi4g42635.1.p						
OG0031578					Os02g0585650				
OG0031579									Zm00001eb368020_P001
OG0031580							TraesCS3D03G0013300.1		
OG0031581		AVESA.00018a.r1.7CG05700480.1							
OG0031582					Os04g0222800				
OG0031583		AVESA.00018a.r1.1DG00849490.1							
OG0031584	AT5G52045.1								
OG0031585		AVESA.00018a.r1.4DG03516220.1							
OG0031586							TraesCS5D03G1198900.4		
OG0031587			Bradi1g46780.1.p						
OG0031588							TraesCS5D03G0881000.1		
OG0031589			Bradi5g03667.1.p						
OG0031590								TRITD6Av1G038470.2	
OG0031591									Zm00001eb224120_P001
OG0031592									Zm00001eb428610_P001
OG0031593		AVESA.00018a.r1.5CG04163810.1							
OG0031594					Os11g0194800				
OG0031595								TRITD5Av1G132540.1	
OG0031596			Bradi3g43155.1.p						
OG0031597	AT1G02540.1								
OG0031598					Os09g0282501				
OG0031599		AVESA.00018a.r1.6CG05095110.1							
OG0031600						SORBI_3009G139600			
OG0031601		AVESA.00018a.r1.2AG01073450.1							
OG0031602		AVESA.00018a.r1.7CG05744080.3							
OG0031603								TRITD3Bv1G119350.1	
OG0031604							TraesCS2A03G0486800.1		
OG0031605		AVESA.00018a.r1.1CG00397340.1							
OG0031606		AVESA.00018a.r1.5AG03957650.1							
OG0031607								TRITD4Av1G086640.2	
OG0031608					Os12g0495525				
OG0031609		AVESA.00018a.r1.4CG03143380.1							
OG0031610	AT4G09589.1								
OG0031611								TRITD3Av1G166870.1	
OG0031612							TraesCS3A03G0235700.1		
OG0031613		AVESA.00018a.r1.1DG00830510.1							
OG0031614								TRITD5Av1G182410.1	
OG0031615								TRITD5Bv1G028260.1	
OG0031616					Os03g0150666				
OG0031617					Os05g0431333				
OG0031618						SORBI_3010G225201			
OG0031619					Os03g0376350				
OG0031620	AT1G01810.1								
OG0031621			Bradi4g27734.2.p						
OG0031622						SORBI_3006G167100			
OG0031623						SORBI_3002G199800			
OG0031624						SORBI_3002G396900			
OG0031625		AVESA.00018a.r1.6CG05009490.1							
OG0031626	AT1G64170.1								
OG0031627					Os04g0396550				
OG0031628							TraesCS5D03G0489500.3		
OG0031629					Os07g0464400				
OG0031630									Zm00001eb153400_P001
OG0031631					Os08g0493400				
OG0031632		AVESA.00018a.r1.1CG00365830.1							
OG0031633					Os06g0501650				
OG0031634						SORBI_3008G065932			
OG0031635			Bradi2g03251.1.p						
OG0031636						SORBI_3005G163932			
OG0031637		AVESA.00018a.r1.2CG01443390.1							
OG0031638							TraesCS2B03G0941900.1		
OG0031639					Os06g0243200				
OG0031640						SORBI_3003G203866			
OG0031641		AVESA.00018a.r1.3AG01851790.1							
OG0031642					Os02g0200550				
OG0031643							TraesCS7A03G0181000.1		
OG0031644					Os10g0493300				
OG0031645						SORBI_3001G372200			
OG0031646							TraesCS1D03G0874500.1		
OG0031647									Zm00001eb363510_P001
OG0031648					Os09g0398200				
OG0031649									Zm00001eb127410_P001
OG0031650					Os03g0645300				
OG0031651					Os08g0109150				
OG0031652		AVESA.00018a.r1.1CG00378120.1							
OG0031653					Os01g0614800				
OG0031654					Os08g0291700				
OG0031655							TraesCS2D03G0117100.1		
OG0031656								TRITD6Av1G018350.1	
OG0031657					Os06g0668000				
OG0031658					Os02g0324500				
OG0031659					Os08g0492200				
OG0031660								TRITD3Bv1G028710.1	
OG0031661						SORBI_3009G020800			
OG0031662									Zm00001eb060640_P001
OG0031663		AVESA.00018a.r1.2CG01397990.1							
OG0031664					Os12g0427500				
OG0031665					Os10g0135650				
OG0031666						SORBI_3004G233800			
OG0031667			Bradi3g23369.1.p						
OG0031668			Bradi2g16683.1.p						
OG0031669			Bradi5g10183.1.p						
OG0031670				HORVU.MOREX.r3.5HG0518090.1					
OG0031671							TraesCS7D03G0729200.1		
OG0031672			Bradi2g28089.1.p						
OG0031673					Os04g0494300				
OG0031674								TRITD3Av1G251270.1	
OG0031675									Zm00001eb134170_P001
OG0031676			Bradi4g33425.1.p						
OG0031677		AVESA.00018a.r1.5CG04132760.1							
OG0031678		AVESA.00018a.r1.2CG01441460.3							
OG0031679			Bradi1g68286.1.p						
OG0031680								TRITD5Bv1G126460.2	
OG0031681					Os10g0580001				
OG0031682					Os12g0411400				
OG0031683		AVESA.00018a.r1.3AG01863420.1							
OG0031684								TRITD5Av1G035270.2	
OG0031685			Bradi2g34056.1.p						
OG0031686							TraesCS4D03G0012600.1		
OG0031687	AT3G19360.1								
OG0031688						SORBI_3004G193600			
OG0031689								TRITD1Av1G169690.3	
OG0031690					Os07g0163400				
OG0031691		AVESA.00018a.r1.3DG02628410.1							
OG0031692									Zm00001eb370500_P001
OG0031693			Bradi5g11908.1.p						
OG0031694						SORBI_3002G331200			
OG0031695									Zm00001eb009910_P001
OG0031696						SORBI_3005G118201			
OG0031697					Os10g0451900				
OG0031698					Os04g0645001				
OG0031699							TraesCS7A03G0204600.1		
OG0031700		AVESA.00018a.r1.1CG00376420.1							
OG0031701						SORBI_3003G318800			
OG0031702					Os06g0730101				
OG0031703			Bradi3g58426.1.p						
OG0031704					Os06g0186300				
OG0031705							TraesCS7B03G0404500.1		
OG0031706			Bradi3g37387.1.p						
OG0031707					Os01g0696500				
OG0031708						SORBI_3003G062700			
OG0031709									Zm00001eb320290_P001
OG0031710			Bradi2g34025.1.p						
OG0031711		AVESA.00018a.r1.3CG02082700.1							
OG0031712							TraesCS2A03G1275500.1		
OG0031713								TRITD1Av1G085460.1	
OG0031714								TRITD0Uv1G123490.1	
OG0031715								TRITD0Uv1G023860.2	
OG0031716		AVESA.00018a.r1.2CG01469540.1							
OG0031717				HORVU.MOREX.r3.1HG0061790.1					
OG0031718								TRITD5Av1G234080.3	
OG0031719			Bradi4g17228.1.p						
OG0031720							TraesCS3D03G1086000.1		
OG0031721					Os03g0744650				
OG0031722							TraesCS7D03G0196300.1		
OG0031723									Zm00001eb079190_P001
OG0031724									Zm00001eb405170_P001
OG0031725						SORBI_3001G095900			
OG0031726							TraesCS7D03G0821800.1		
OG0031727			Bradi2g31735.1.p						
OG0031728					Os11g0474450				
OG0031729		AVESA.00018a.r1.5CG04030750.1							
OG0031730	AT5G06340.1								
OG0031731						SORBI_3003G170333			
OG0031732			Bradi2g18452.2.p						
OG0031733					Os03g0782150				
OG0031734									Zm00001eb046070_P001
OG0031735									Zm00001eb233160_P001
OG0031736								TRITD6Av1G054190.4	
OG0031737					Os01g0978250				
OG0031738	AT2G45135.1								
OG0031739	AT3G53790.1								
OG0031740			Bradi2g05099.1.p						
OG0031741					Os08g0206150				
OG0031742						SORBI_3002G260200			
OG0031743								TRITD7Av1G077000.1	
OG0031744					Os10g0329401				
OG0031745						SORBI_3001G496000			
OG0031746			Bradi1g44043.1.p						
OG0031747									Zm00001eb014670_P001
OG0031748					Os02g0518901				
OG0031749			Bradi1g27090.1.p						
OG0031750					Os05g0447800				
OG0031751					Os10g0168600				
OG0031752									Zm00001eb269800_P001
OG0031753							TraesCS1D03G0979400.1		
OG0031754	AT2G19290.1								
OG0031755			Bradi3g17519.1.p						
OG0031756							TraesCS2B03G1286400.1		
OG0031757							TraesCS4D03G0145300.1		
OG0031758		AVESA.00018a.r1.4AG02732840.1							
OG0031759					Os03g0591000				
OG0031760									Zm00001eb002200_P001
OG0031761					Os03g0796350				
OG0031762						SORBI_3010G149900			
OG0031763							TraesCS5A03G0645400.1		
OG0031764								TRITD4Bv1G130540.3	
OG0031765									Zm00001eb077170_P001
OG0031766						SORBI_3008G112400			
OG0031767							TraesCS2D03G0593400.1		
OG0031768								TRITD0Uv1G035450.4	
OG0031769							TraesCS7B03G1242400.2		
OG0031770				HORVU.MOREX.r3.3HG0291100.1					
OG0031771			Bradi1g20925.1.p						
OG0031772		AVESA.00018a.r1.7CG05715660.1							
OG0031773	AT3G23172.1								
OG0031774		AVESA.00018a.r1.4CG03033850.1							
OG0031775	AT4G07820.1								
OG0031776					Os12g0514300				
OG0031777									Zm00001eb190600_P001
OG0031778		AVESA.00018a.r1.1AG00118860.1							
OG0031779					Os06g0661733				
OG0031780					Os05g0184132				
OG0031781								TRITD2Av1G252650.2	
OG0031782	AT3G63040.1								
OG0031783		AVESA.00018a.r1.3CG02088570.1							
OG0031784					Os02g0273300				
OG0031785					Os01g0513500				
OG0031786			Bradi3g06071.1.p						
OG0031787		AVESA.00018a.r1.4CG03284270.2							
OG0031788							TraesCS4D03G0536300.1		
OG0031789			Bradi1g06999.1.p						
OG0031790								TRITD2Av1G121920.1	
OG0031791						SORBI_3007G094050			
OG0031792			Bradi4g29283.1.p						
OG0031793			Bradi4g16715.1.p						
OG0031794		AVESA.00018a.r1.7DG05979840.1							
OG0031795					Os06g0300366				
OG0031796					Os11g0585451				
OG0031797					Os11g0161166				
OG0031798	AT5G25000.1								
OG0031799						SORBI_3003G368150			
OG0031800					Os03g0671000				
OG0031801			Bradi2g04725.1.p						
OG0031802					Os03g0431400				
OG0031803							TraesCS6D03G0001700.1		
OG0031804						SORBI_3002G431366			
OG0031805		AVESA.00018a.r1.3AG01882030.1							
OG0031806							TraesCS3B03G1122700.1		
OG0031807								TRITD3Av1G223480.1	
OG0031808									Zm00001eb161970_P006
OG0031809						SORBI_3010G048966			
OG0031810			Bradi2g05763.1.p						
OG0031811			Bradi5g13272.1.p						
OG0031812	AT3G15910.1								
OG0031813		AVESA.00018a.r1.6AG04772760.1							
OG0031814							TraesCS1B03G1137200.1		
OG0031815						SORBI_3006G037401			
OG0031816					Os07g0521875				
OG0031817					Os04g0114300				
OG0031818		AVESA.00018a.r1.2CG01467380.1							
OG0031819		AVESA.00018a.r1.4AG02786770.1							
OG0031820	AT1G58460.2								
OG0031821							TraesCS2D03G0703800.2		
OG0031822							TraesCS2A03G0912200.1		
OG0031823							TraesCS2D03G1089100.1		
OG0031824					Os05g0547301				
OG0031825			Bradi3g43185.1.p						
OG0031826						SORBI_3K030700			
OG0031827							TraesCS3D03G0872700.1		
OG0031828								TRITD7Av1G187660.1	
OG0031829							TraesCS3B03G0177900.3		
OG0031830	AT4G18580.1								
OG0031831									Zm00001eb107140_P001
OG0031832		AVESA.00018a.r1.3CG02087700.1							
OG0031833								TRITD7Bv1G232980.1	
OG0031834								TRITD4Av1G179480.1	
OG0031835					Os03g0145751				
OG0031836			Bradi2g40142.2.p						
OG0031837						SORBI_3001G075200			
OG0031838					Os03g0198050				
OG0031839			Bradi4g31214.1.p						
OG0031840			Bradi2g50406.1.p						
OG0031841	AT2G07659.1								
OG0031842							TraesCS3B03G0261100.1		
OG0031843								TRITD2Av1G041650.13	
OG0031844							TraesCS7A03G1315900.1		
OG0031845						SORBI_3005G077666			
OG0031846							TraesCS2A03G0560600.2		
OG0031847					Os06g0293583				
OG0031848							TraesCS3D03G0748400.1		
OG0031849							TraesCS6B03G0508300.1		
OG0031850							TraesCS3D03G0642300.1		
OG0031851					Os05g0375532				
OG0031852					Os08g0129800				
OG0031853							TraesCS2B03G1467900.1		
OG0031854					Os01g0383200				
OG0031855			Bradi4g35045.5.p						
OG0031856				HORVU.MOREX.r3.4HG0375630.1					
OG0031857						SORBI_3003G357000			
OG0031858			Bradi1g03962.1.p						
OG0031859					Os04g0617900				
OG0031860			Bradi1g44420.1.p						
OG0031861					Os03g0198466				
OG0031862						SORBI_3008G084700			
OG0031863					Os02g0174450				
OG0031864								TRITD7Bv1G175420.1	
OG0031865								TRITD1Av1G163670.1	
OG0031866							TraesCS6B03G0186000.1		
OG0031867		AVESA.00018a.r1.1AG00183680.1							
OG0031868					Os01g0737000				
OG0031869					Os01g0506600				
OG0031870							TraesCS6A03G0288100.1		
OG0031871							TraesCS7B03G0233200.1		
OG0031872			Bradi3g21317.3.p						
OG0031873					Os11g0597050				
OG0031874					Os11g0587400				
OG0031875	AT1G12211.1								
OG0031876							TraesCS1B03G0161900.1		
OG0031877								TRITD6Av1G000680.1	
OG0031878		AVESA.00018a.r1.2DG01528910.1							
OG0031879						SORBI_3004G111600			
OG0031880			Bradi1g02306.1.p						
OG0031881			Bradi1g47519.1.p						
OG0031882	AT2G32770.3								
OG0031883		AVESA.00018a.r1.5DG04520970.1							
OG0031884								TRITD3Bv1G263920.1	
OG0031885					Os06g0498150				
OG0031886			Bradi1g33508.1.p						
OG0031887					Os04g0142850				
OG0031888						SORBI_3004G161800			
OG0031889			Bradi4g24933.1.p						
OG0031890		AVESA.00018a.r1.5DG04570310.1							
OG0031891	AT5G61997.1								
OG0031892							TraesCS2B03G1454400.1		
OG0031893			Bradi2g43843.1.p						
OG0031894			Bradi1g70252.1.p						
OG0031895					Os08g0288901				
OG0031896	AT5G62260.1								
OG0031897					Os03g0207475				
OG0031898		AVESA.00018a.r1.1AG00315270.2							
OG0031899					Os01g0256000				
OG0031900					Os08g0360350				
OG0031901					Os09g0389000				
OG0031902									Zm00001eb013410_P002
OG0031903						SORBI_3008G176200			
OG0031904							TraesCS5A03G0131200.1		
OG0031905		AVESA.00018a.r1.5CG03964090.1							
OG0031906			Bradi5g25403.1.p						
OG0031907									Zm00001eb132650_P001
OG0031908							TraesCS1D03G0439500.1		
OG0031909				HORVU.MOREX.r3.5HG0533680.1					
OG0031910					Os02g0214500				
OG0031911					Os02g0646700				
OG0031912					Os10g0452100				
OG0031913									Zm00001eb348430_P001
OG0031914								TRITD0Uv1G030560.1	
OG0031915							TraesCS2A03G1129800.1		
OG0031916			Bradi2g39277.1.p						
OG0031917							TraesCS3D03G1118800.1		
OG0031918			Bradi2g30373.1.p						
OG0031919									Zm00001eb353540_P004
OG0031920								TRITD1Av1G189240.1	
OG0031921							TraesCS6B03G0124500.1		
OG0031922					Os03g0301600				
OG0031923						SORBI_3001G458500			
OG0031924									Zm00001eb133040_P001
OG0031925			Bradi2g05222.1.p						
OG0031926					Os05g0442900				
OG0031927			Bradi1g47588.1.p						
OG0031928						SORBI_3010G256466			
OG0031929			Bradi1g43955.1.p						
OG0031930					Os07g0514101				
OG0031931		AVESA.00018a.r1.4AG02687130.1							
OG0031932					Os05g0231800				
OG0031933			Bradi3g58032.1.p						
OG0031934			Bradi3g13733.1.p						
OG0031935									Zm00001eb032630_P001
OG0031936			Bradi1g48982.2.p						
OG0031937		AVESA.00018a.r1.7CG05805360.2							
OG0031938		AVESA.00018a.r1.7DG06068210.1							
OG0031939								TRITD6Av1G036120.1	
OG0031940									Zm00001eb342050_P001
OG0031941						SORBI_3003G378050			
OG0031942							TraesCS1D03G0151600.1		
OG0031943						SORBI_3004G213400			
OG0031944							TraesCS7B03G0249400.1		
OG0031945								TRITD4Av1G001260.1	
OG0031946					Os01g0975500				
OG0031947						SORBI_3003G418800			
OG0031948									Zm00001eb265160_P001
OG0031949					Os05g0224301				
