HOG	OG	Gene Tree Parent Clade	Arabidopsis_thaliana	Avena_sativa	Brachypodium_distachyon	Hordeum_vulgare	Oryza_sativa	Sorghum_bicolor	Triticum_aestivum	Triticum_turgidum	Zea_mays
N2.HOG0002092	OG0000483	n31						SORBI_3003G113100, SORBI_3003G060900, SORBI_3005G125200			
N2.HOG0002093	OG0000484	n0						SORBI_3004G014600, SORBI_3008G157400, SORBI_3002G013800			
N2.HOG0002094	OG0000485	n1						SORBI_3001G140800			Zm00001eb052150_P001
N2.HOG0002095	OG0000485	n31						SORBI_3001G140900			Zm00001eb052200_P002
N2.HOG0002096	OG0000485	n32						SORBI_3001G141100			Zm00001eb052210_P001
N2.HOG0002097	OG0000485	n33						SORBI_3006G089000			Zm00001eb002370_P001, Zm00001eb082180_P004, Zm00001eb295410_P001, Zm00001eb422960_P001, Zm00001eb427980_P001
N2.HOG0002098	OG0000486	n8						SORBI_3006G116300			Zm00001eb079930_P001
N2.HOG0002099	OG0000486	n9						SORBI_3005G210400			Zm00001eb031200_P001, Zm00001eb424780_P001
N2.HOG0002100	OG0000486	n45						SORBI_3006G118500			
N2.HOG0002101	OG0000486	n51						SORBI_3006G116400			
N2.HOG0002102	OG0000487	n1						SORBI_3002G174801			Zm00001eb310280_P001
N2.HOG0002103	OG0000487	n15						SORBI_3002G174600			Zm00001eb159910_P001
N2.HOG0002104	OG0000487	n35						SORBI_3008G013800			Zm00001eb405150_P002
N2.HOG0002105	OG0000487	n36						SORBI_3005G181200			Zm00001eb163440_P001
N2.HOG0002106	OG0000488	n10						SORBI_3003G266300			Zm00001eb155970_P001
N2.HOG0002107	OG0000488	n13						SORBI_3002G163500			
N2.HOG0002108	OG0000488	n19						SORBI_3003G176200, SORBI_3003G176350			
N2.HOG0002109	OG0000488	n24						SORBI_3002G163600			
N2.HOG0002110	OG0000488	n27						SORBI_3007G109600			
N2.HOG0002111	OG0000488	n39						SORBI_3002G163301			
N2.HOG0002112	OG0000488	n44						SORBI_3002G163100, SORBI_3002G163200			
N2.HOG0002113	OG0000488	n50						SORBI_3009G219700, SORBI_3009G219200, SORBI_3009G219300, SORBI_3009G219601			Zm00001eb294730_P001
N2.HOG0002114	OG0000488	n62						SORBI_3003G176100			
N2.HOG0002115	OG0000489	n4									Zm00001eb039180_P001, Zm00001eb435450_P001, Zm00001eb435720_P001, Zm00001eb436800_P001, Zm00001eb437230_P001, Zm00001eb440810_P001, Zm00001eb441570_P001
N2.HOG0002116	OG0000489	n34									Zm00001eb434980_P001
N2.HOG0002117	OG0000490	n9						SORBI_3001G353300, SORBI_3002G067200, SORBI_3002G184450			
N2.HOG0002118	OG0000490	n38						SORBI_3002G381600			Zm00001eb327910_P003
N2.HOG0002119	OG0000490	n39						SORBI_3002G381400, SORBI_3002G381500			Zm00001eb109730_P003, Zm00001eb327900_P001
N2.HOG0002120	OG0000490	n44						SORBI_3007G124200			Zm00001eb042260_P002
N2.HOG0002121	OG0000490	n49						SORBI_3002G184600			Zm00001eb311230_P003
N2.HOG0002122	OG0000490	n63						SORBI_3010G089600			Zm00001eb372640_P002
N2.HOG0002123	OG0000490	n74						SORBI_3004G232900			Zm00001eb194210_P002, Zm00001eb255170_P001
N2.HOG0002124	OG0000491	n13						SORBI_3001G527200			Zm00001eb403760_P001
N2.HOG0002125	OG0000491	n30						SORBI_3006G123200			Zm00001eb425060_P001
N2.HOG0002126	OG0000491	n55						SORBI_3010G210900			
N2.HOG0002127	OG0000491	n56						SORBI_3006G033700			Zm00001eb086830_P002
N2.HOG0002128	OG0000492	n8						SORBI_3002G089400, SORBI_3002G089500, SORBI_3002G089600			Zm00001eb304240_P001
N2.HOG0002129	OG0000492	n41						SORBI_3001G518700, SORBI_3006G026200			Zm00001eb002390_P001
N2.HOG0002130	OG0000495	n1						SORBI_3007G012800			
N2.HOG0002131	OG0000495	n6						SORBI_3006G082800, SORBI_3006G082850			Zm00001eb086580_P001
N2.HOG0002132	OG0000496	n0						SORBI_3002G140300, SORBI_3002G140400			Zm00001eb307480_P001, Zm00001eb307490_P001
N2.HOG0002133	OG0000497	n4						SORBI_3003G445000			Zm00001eb139720_P001
N2.HOG0002134	OG0000497	n15						SORBI_3009G013700			Zm00001eb355750_P002
N2.HOG0002135	OG0000497	n27						SORBI_3003G094800			Zm00001eb125900_P001
N2.HOG0002136	OG0000497	n32						SORBI_3003G384700			Zm00001eb145080_P002
N2.HOG0002137	OG0000497	n34						SORBI_3003G384900			Zm00001eb145070_P001
N2.HOG0002138	OG0000497	n35						SORBI_3003G384800			Zm00001eb365820_P002
N2.HOG0002139	OG0000498	n4						SORBI_3010G144400			Zm00001eb382490_P001
N2.HOG0002140	OG0000498	n17						SORBI_3004G134100			Zm00001eb203240_P002
N2.HOG0002141	OG0000498	n31						SORBI_3010G030900			Zm00001eb270290_P001
N2.HOG0002142	OG0000498	n43						SORBI_3003G390700			Zm00001eb144500_P002
N2.HOG0002143	OG0000498	n56						SORBI_3004G033000			Zm00001eb109410_P001, Zm00001eb188150_P001, Zm00001eb209190_P001, Zm00001eb231570_P004, Zm00001eb355700_P001
N2.HOG0002144	OG0000498	n70						SORBI_3010G256600			Zm00001eb136870_P001
N2.HOG0002145	OG0000499	n72						SORBI_3002G267100			Zm00001eb318500_P001
N2.HOG0002146	OG0000499	n73						SORBI_3002G267000			Zm00001eb102950_P001
N2.HOG0002147	OG0000499	n76						SORBI_3007G182900			Zm00001eb198510_P001
N2.HOG0002148	OG0000499	n77						SORBI_3K024600, SORBI_3007G183000, SORBI_3007G183050, SORBI_3007G183100, SORBI_3007G183200, SORBI_3003G077100			Zm00001eb037440_P001
N2.HOG0002149	OG0000500	n2						SORBI_3003G326200			Zm00001eb369450_P001
N2.HOG0002150	OG0000500	n13						SORBI_3003G326300			Zm00001eb369440_P001
N2.HOG0002151	OG0000500	n21						SORBI_3008G063800, SORBI_3008G064000			Zm00001eb138660_P001
N2.HOG0002152	OG0000501	n2									Zm00001eb197230_P001, Zm00001eb197280_P001
N2.HOG0002153	OG0000501	n6						SORBI_3005G040000, SORBI_3005G039900, SORBI_3005G040200, SORBI_3003G383000, SORBI_3005G040400			Zm00001eb201270_P001
N2.HOG0002154	OG0000501	n11						SORBI_3005G127600, SORBI_3005G040800			Zm00001eb201280_P001
N2.HOG0002155	OG0000501	n13									Zm00001eb196730_P001, Zm00001eb196810_P001, Zm00001eb196820_P001, Zm00001eb197130_P001, Zm00001eb197210_P001, Zm00001eb197240_P001, Zm00001eb197250_P001
N2.HOG0002156	OG0000502	n8						SORBI_3003G192200			Zm00001eb110690_P001, Zm00001eb159990_P001
N2.HOG0002157	OG0000502	n22						SORBI_3007G061800			Zm00001eb171880_P001
N2.HOG0002158	OG0000502	n36						SORBI_3001G190200			Zm00001eb043150_P001
N2.HOG0002159	OG0000502	n38						SORBI_3004G332700			
N2.HOG0002160	OG0000502	n48						SORBI_3002G004900			Zm00001eb298310_P002
N2.HOG0002161	OG0000502	n71						SORBI_3002G338500			Zm00001eb324180_P001
N2.HOG0002162	OG0000503	n0						SORBI_3005G042000			Zm00001eb092540_P001, Zm00001eb197410_P001
N2.HOG0002163	OG0000504	n16						SORBI_3002G042000, SORBI_3005G099800, SORBI_3007G041701			Zm00001eb300620_P001
N2.HOG0002164	OG0000504	n20						SORBI_3002G042100			Zm00001eb300630_P001
N2.HOG0002165	OG0000504	n21						SORBI_3002G042200			Zm00001eb300640_P001
N2.HOG0002166	OG0000504	n23						SORBI_3002G042300			Zm00001eb149060_P001, Zm00001eb300670_P001
N2.HOG0002167	OG0000504	n35						SORBI_3002G041533			Zm00001eb300590_P001
N2.HOG0002168	OG0000505	n1						SORBI_3006G277600			Zm00001eb076190_P001
N2.HOG0002169	OG0000505	n80						SORBI_3006G277700			Zm00001eb434350_P001
N2.HOG0002170	OG0000505	n81						SORBI_3006G277800			Zm00001eb076210_P001
N2.HOG0002171	OG0000506	n1						SORBI_3003G271800			Zm00001eb055690_P001, Zm00001eb155430_P002
N2.HOG0002172	OG0000506	n14						SORBI_3009G215700			Zm00001eb294480_P001
N2.HOG0002173	OG0000507	n0						SORBI_3009G110600, SORBI_3009G110800, SORBI_3008G055600, SORBI_3010G262950			
N2.HOG0002174	OG0000508	n0						SORBI_3005G094001			
N2.HOG0002175	OG0000510	n1						SORBI_3003G173800			Zm00001eb132550_P004, Zm00001eb341870_P001
N2.HOG0002176	OG0000510	n40						SORBI_3010G190001, SORBI_3010G190100			Zm00001eb275880_P001, Zm00001eb275900_P001, Zm00001eb275920_P001, Zm00001eb275930_P001, Zm00001eb275940_P001, Zm00001eb275950_P001, Zm00001eb275970_P001, Zm00001eb275980_P001, Zm00001eb276000_P001, Zm00001eb276010_P001, Zm00001eb276020_P001, Zm00001eb276030_P001, Zm00001eb276040_P001, Zm00001eb276050_P001, Zm00001eb276060_P001, Zm00001eb276070_P001, Zm00001eb276080_P001, Zm00001eb276090_P001, Zm00001eb276100_P001, Zm00001eb442160_P001, Zm00001eb442230_P001, Zm00001eb442240_P001, Zm00001eb442680_P001
N2.HOG0002177	OG0000510	n59						SORBI_3010G161400			Zm00001eb277810_P001
N2.HOG0002178	OG0000510	n60						SORBI_3004G080000			Zm00001eb205940_P001, Zm00001eb236170_P001, Zm00001eb236180_P001, Zm00001eb236200_P001, Zm00001eb236220_P001, Zm00001eb236250_P001
N2.HOG0002179	OG0000511	n4						SORBI_3003G102300			Zm00001eb126610_P001
N2.HOG0002180	OG0000511	n63						SORBI_3003G102200, SORBI_3001G350300			
N2.HOG0002181	OG0000512	n6						SORBI_3001G185400			Zm00001eb048860_P001, Zm00001eb048890_P001, Zm00001eb219770_P001
N2.HOG0002182	OG0000512	n34						SORBI_3001G012600			Zm00001eb106010_P001, Zm00001eb322690_P001
N2.HOG0002183	OG0000512	n52						SORBI_3001G185800			
N2.HOG0002184	OG0000512	n53						SORBI_3002G318300			Zm00001eb106020_P005
N2.HOG0002185	OG0000512	n78						SORBI_3001G185600			Zm00001eb219810_P001
N2.HOG0002186	OG0000512	n79						SORBI_3001G185500			Zm00001eb048870_P002, Zm00001eb219790_P002
N2.HOG0002187	OG0000513	n8						SORBI_3001G267600			Zm00001eb026440_P001
N2.HOG0002188	OG0000513	n10						SORBI_3001G439100			Zm00001eb398830_P001
N2.HOG0002189	OG0000513	n11						SORBI_3003G073100, SORBI_3003G073133			Zm00001eb010450_P001
N2.HOG0002190	OG0000513	n53						SORBI_3008G024400			Zm00001eb266780_P001
N2.HOG0002191	OG0000513	n55						SORBI_3010G031700			Zm00001eb286960_P001
N2.HOG0002192	OG0000513	n56						SORBI_3010G166700			Zm00001eb384600_P002
N2.HOG0002193	OG0000513	n58						SORBI_3010G267300, SORBI_3002G116700			
N2.HOG0002194	OG0000513	n70						SORBI_3002G278200			Zm00001eb332120_P001
N2.HOG0002195	OG0000514	n7						SORBI_3003G246200			Zm00001eb157710_P001
N2.HOG0002196	OG0000514	n19						SORBI_3009G236800			Zm00001eb296280_P001, Zm00001eb344100_P001
N2.HOG0002197	OG0000514	n32						SORBI_3009G236700, SORBI_3002G218400			Zm00001eb296270_P002
N2.HOG0002198	OG0000514	n45						SORBI_3009G243200			Zm00001eb296760_P001
N2.HOG0002199	OG0000514	n57						SORBI_3003G234000			Zm00001eb158820_P001, Zm00001eb359160_P001
N2.HOG0002200	OG0000514	n70						SORBI_3004G032300			Zm00001eb209140_P001
N2.HOG0002201	OG0000515	n5						SORBI_3001G469600			Zm00001eb008080_P001
N2.HOG0002202	OG0000515	n16						SORBI_3009G084400, SORBI_3001G469500			Zm00001eb008070_P002
N2.HOG0002203	OG0000515	n29						SORBI_3001G323600			Zm00001eb021140_P001
N2.HOG0002204	OG0000515	n34						SORBI_3002G354200			Zm00001eb325680_P001
N2.HOG0002205	OG0000515	n50						SORBI_3002G354000			Zm00001eb107810_P001, Zm00001eb325640_P002
N2.HOG0002206	OG0000515	n52						SORBI_3002G354100			Zm00001eb107870_P001, Zm00001eb325650_P001
N2.HOG0002207	OG0000515	n71						SORBI_3002G353900			
N2.HOG0002208	OG0000517	n15						SORBI_3007G120301, SORBI_3004G292866, SORBI_3003G232266			
N2.HOG0002209	OG0000517	n19						SORBI_3005G153066			
N2.HOG0002210	OG0000517	n51						SORBI_3006G150001, SORBI_3001G441350			
N2.HOG0002211	OG0000517	n69						SORBI_3008G079700, SORBI_3009G011050, SORBI_3004G143550			
N2.HOG0002212	OG0000518	n68						SORBI_3001G009700, SORBI_3002G059200			
N2.HOG0002213	OG0000518	n71						SORBI_3002G276000			Zm00001eb210660_P001, Zm00001eb319670_P001
N2.HOG0002214	OG0000518	n73						SORBI_3001G416800, SORBI_3001G416900			Zm00001eb160010_P002
N2.HOG0002215	OG0000519	n11						SORBI_3001G219400			Zm00001eb045800_P002, Zm00001eb221810_P002
N2.HOG0002216	OG0000519	n20						SORBI_3006G147500			Zm00001eb426660_P001
N2.HOG0002217	OG0000519	n32						SORBI_3004G219600			Zm00001eb185130_P002, Zm00001eb247530_P001
N2.HOG0002218	OG0000519	n43						SORBI_3004G052800			Zm00001eb232850_P002
N2.HOG0002219	OG0000519	n55						SORBI_3003G421300, SORBI_3010G225100			Zm00001eb390210_P001
N2.HOG0002220	OG0000519	n67						SORBI_3004G338400			Zm00001eb191830_P002, Zm00001eb258390_P001
N2.HOG0002221	OG0000520	n5						SORBI_3004G019100, SORBI_3004G019300			Zm00001eb208380_P002, Zm00001eb208400_P001
N2.HOG0002222	OG0000520	n8						SORBI_3004G019400			Zm00001eb230410_P001, Zm00001eb230440_P001
N2.HOG0002223	OG0000520	n10						SORBI_3004G018900, SORBI_3004G019000			
N2.HOG0002224	OG0000521	n10						SORBI_3002G195400			Zm00001eb312060_P001
N2.HOG0002225	OG0000521	n11						SORBI_3002G195600			Zm00001eb312070_P001
N2.HOG0002226	OG0000521	n28						SORBI_3002G195700			Zm00001eb312080_P003
N2.HOG0002227	OG0000521	n39						SORBI_3006G211900			Zm00001eb071040_P002
N2.HOG0002228	OG0000521	n51						SORBI_3007G076000			Zm00001eb413850_P001
N2.HOG0002229	OG0000523	n0						SORBI_3002G019900			
N2.HOG0002230	OG0000524	n0						SORBI_3005G182900			
N2.HOG0002231	OG0000525	n1						SORBI_3004G068700, SORBI_3004G068800, SORBI_3004G068900			Zm00001eb234470_P001
N2.HOG0002232	OG0000525	n69						SORBI_3010G106800			
N2.HOG0002233	OG0000525	n78						SORBI_3004G068600			Zm00001eb234450_P001
N2.HOG0002234	OG0000526	n0									Zm00001eb003790_P001, Zm00001eb006960_P001, Zm00001eb022700_P001, Zm00001eb024840_P001, Zm00001eb027050_P001, Zm00001eb027430_P001, Zm00001eb027510_P001, Zm00001eb028960_P001, Zm00001eb030910_P001, Zm00001eb030920_P001, Zm00001eb038170_P001, Zm00001eb041490_P001, Zm00001eb085910_P001, Zm00001eb087530_P001, Zm00001eb090190_P001, Zm00001eb090780_P001, Zm00001eb094510_P001, Zm00001eb105320_P001, Zm00001eb115790_P001, Zm00001eb128870_P001, Zm00001eb131560_P001, Zm00001eb131730_P001, Zm00001eb131980_P001, Zm00001eb132390_P001, Zm00001eb132500_P001, Zm00001eb133510_P001, Zm00001eb133520_P001, Zm00001eb133560_P001, Zm00001eb139910_P001, Zm00001eb172660_P001, Zm00001eb176780_P001, Zm00001eb176830_P001, Zm00001eb180240_P001, Zm00001eb180970_P001, Zm00001eb181240_P001, Zm00001eb182040_P001, Zm00001eb183570_P001, Zm00001eb184250_P001, Zm00001eb184260_P001, Zm00001eb184280_P001, Zm00001eb193410_P001, Zm00001eb200800_P001, Zm00001eb223830_P001, Zm00001eb226630_P001, Zm00001eb230000_P001, Zm00001eb230010_P001, Zm00001eb236970_P001, Zm00001eb242650_P001, Zm00001eb242670_P001, Zm00001eb246320_P001, Zm00001eb247550_P001, Zm00001eb247560_P001, Zm00001eb267740_P001, Zm00001eb268380_P001, Zm00001eb268720_P001, Zm00001eb269530_P001, Zm00001eb271140_P001, Zm00001eb303100_P001, Zm00001eb305990_P001, Zm00001eb307430_P001, Zm00001eb308450_P001, Zm00001eb308460_P001, Zm00001eb309870_P001, Zm00001eb311760_P001, Zm00001eb311770_P001, Zm00001eb319430_P001, Zm00001eb326380_P001, Zm00001eb326390_P001, Zm00001eb335250_P001, Zm00001eb340610_P001, Zm00001eb340910_P001, Zm00001eb341060_P001, Zm00001eb342020_P001, Zm00001eb354590_P001, Zm00001eb381610_P001, Zm00001eb382420_P001, Zm00001eb383090_P001, Zm00001eb411590_P001, Zm00001eb411720_P001, Zm00001eb412630_P001, Zm00001eb422430_P001
N2.HOG0002235	OG0000527	n0						SORBI_3006G154200			Zm00001eb122840_P001
N2.HOG0002236	OG0000528	n13						SORBI_3002G299200			Zm00001eb104820_P002, Zm00001eb176290_P001, Zm00001eb243080_P001, Zm00001eb320080_P001
N2.HOG0002237	OG0000528	n17						SORBI_3001G153600, SORBI_3005G114101, SORBI_3002G298201			Zm00001eb050240_P001
N2.HOG0002238	OG0000528	n22						SORBI_3002G061800			Zm00001eb116620_P001
N2.HOG0002239	OG0000528	n35						SORBI_3001G053350			
N2.HOG0002240	OG0000528	n56						SORBI_3001G053700			Zm00001eb212800_P001
N2.HOG0002241	OG0000528	n60						SORBI_3001G136000			Zm00001eb053110_P003
N2.HOG0002242	OG0000528	n73						SORBI_3001G136150			Zm00001eb217290_P001
N2.HOG0002243	OG0000529	n5						SORBI_3004G229400			Zm00001eb255390_P001
N2.HOG0002244	OG0000529	n17						SORBI_3004G229500			
N2.HOG0002245	OG0000529	n33						SORBI_3004G229300			Zm00001eb194020_P001, Zm00001eb255410_P001
N2.HOG0002246	OG0000529	n48						SORBI_3010G088500			
N2.HOG0002247	OG0000529	n69						SORBI_3010G088700			
N2.HOG0002248	OG0000529	n72						SORBI_3004G229200			
N2.HOG0002249	OG0000531	n2						SORBI_3003G413600, SORBI_3003G413700			Zm00001eb142370_P001
N2.HOG0002250	OG0000531	n21						SORBI_3006G061700			Zm00001eb084600_P001
N2.HOG0002251	OG0000531	n23						SORBI_3004G160000			
N2.HOG0002252	OG0000531	n46						SORBI_3006G062100			Zm00001eb421580_P005
N2.HOG0002253	OG0000531	n55						SORBI_3006G061300			Zm00001eb084630_P002
N2.HOG0002254	OG0000532	n17						SORBI_3001G212100			Zm00001eb088990_P002, Zm00001eb095600_P001, Zm00001eb220990_P001, Zm00001eb231580_P001
N2.HOG0002255	OG0000532	n21						SORBI_3001G212000			Zm00001eb045240_P002
N2.HOG0002256	OG0000532	n24						SORBI_3006G154400			Zm00001eb076750_P001, Zm00001eb427040_P001
N2.HOG0002257	OG0000532	n36						SORBI_3004G225800			Zm00001eb185580_P001
N2.HOG0002258	OG0000532	n46						SORBI_3004G225900			Zm00001eb185590_P001, Zm00001eb248300_P001
N2.HOG0002259	OG0000532	n59						SORBI_3006G154500			Zm00001eb076740_P001
N2.HOG0002260	OG0000533	n1						SORBI_3003G085300			Zm00001eb335210_P001
N2.HOG0002261	OG0000533	n10						SORBI_3003G088400			Zm00001eb125590_P001
N2.HOG0002262	OG0000533	n77						SORBI_3003G085400			
N2.HOG0002263	OG0000534	n0						SORBI_3003G254400, SORBI_3003G254500			Zm00001eb360200_P001, Zm00001eb360210_P001, Zm00001eb360220_P001, Zm00001eb364350_P001
N2.HOG0002264	OG0000535	n4						SORBI_3010G021000			
N2.HOG0002265	OG0000535	n14						SORBI_3003G324200			
N2.HOG0002266	OG0000535	n42						SORBI_3005G217300			Zm00001eb283300_P001
N2.HOG0002267	OG0000535	n60						SORBI_3002G011100, SORBI_3002G123600			Zm00001eb298730_P001
N2.HOG0002268	OG0000536	n1									Zm00001eb079730_P001, Zm00001eb079740_P002
N2.HOG0002269	OG0000536	n9									Zm00001eb125560_P004
N2.HOG0002270	OG0000537	n3						SORBI_3007G094600			Zm00001eb411900_P001
N2.HOG0002271	OG0000537	n4						SORBI_3007G095000			Zm00001eb177890_P001, Zm00001eb177900_P001
N2.HOG0002272	OG0000538	n1						SORBI_3010G147400, SORBI_3001G293900, SORBI_3010G147250, SORBI_3010G147300, SORBI_3010G147350			Zm00001eb023940_P001
N2.HOG0002273	OG0000538	n35						SORBI_3010G158300			
N2.HOG0002274	OG0000539	n10									Zm00001eb077270_P002
N2.HOG0002275	OG0000539	n27						SORBI_3006G241700			Zm00001eb101000_P001
N2.HOG0002276	OG0000539	n30						SORBI_3006G243800, SORBI_3006G243700			Zm00001eb068170_P002
N2.HOG0002277	OG0000539	n77						SORBI_3006G243900			
N2.HOG0002278	OG0000540	n5						SORBI_3006G152900			Zm00001eb426940_P001
N2.HOG0002279	OG0000540	n10						SORBI_3005G124600, SORBI_3006G152500			Zm00001eb076900_P001
N2.HOG0002280	OG0000540	n38						SORBI_3006G152801			Zm00001eb076880_P002
N2.HOG0002281	OG0000540	n39						SORBI_3006G152700			Zm00001eb426930_P001
N2.HOG0002282	OG0000540	n41						SORBI_3006G152600			Zm00001eb426920_P004
N2.HOG0002283	OG0000540	n53						SORBI_3004G224000			Zm00001eb024060_P001, Zm00001eb071610_P001, Zm00001eb185390_P001, Zm00001eb248060_P001
N2.HOG0002284	OG0000540	n67						SORBI_3006G264700			Zm00001eb433620_P002
N2.HOG0002285	OG0000541	n12						SORBI_3003G110200			Zm00001eb333970_P001
N2.HOG0002286	OG0000541	n28						SORBI_3005G082600			Zm00001eb112460_P002
N2.HOG0002287	OG0000541	n29						SORBI_3005G082500, SORBI_3005G082700			Zm00001eb168360_P001
N2.HOG0002288	OG0000541	n37						SORBI_3008G078900			Zm00001eb411340_P001
N2.HOG0002289	OG0000542	n6						SORBI_3006G148000			Zm00001eb426670_P001
N2.HOG0002290	OG0000542	n16						SORBI_3004G219800			Zm00001eb185160_P001, Zm00001eb247570_P001
N2.HOG0002291	OG0000542	n63						SORBI_3001G219200			Zm00001eb045780_P001, Zm00001eb221780_P001
N2.HOG0002292	OG0000543	n6						SORBI_3003G265200			Zm00001eb156040_P001, Zm00001eb360750_P001
N2.HOG0002293	OG0000543	n18						SORBI_3009G221400			Zm00001eb294830_P001, Zm00001eb342850_P001
N2.HOG0002294	OG0000543	n39						SORBI_3003G078100			Zm00001eb124740_P001
N2.HOG0002295	OG0000544	n9						SORBI_3005G149600			Zm00001eb010640_P001
N2.HOG0002296	OG0000544	n73						SORBI_3001G192100, SORBI_3001G044100, SORBI_3004G256550			Zm00001eb026930_P001
N2.HOG0002297	OG0000544	n76						SORBI_3001G192200			Zm00001eb043350_P001, Zm00001eb220030_P001
N2.HOG0002298	OG0000545	n0						SORBI_3001G168500, SORBI_3009G002700, SORBI_3001G168600			Zm00001eb219170_P001
N2.HOG0002299	OG0000546	n16						SORBI_3005G152200			Zm00001eb201770_P001
N2.HOG0002300	OG0000546	n17						SORBI_3005G152100, SORBI_3005G152800, SORBI_3005G152000			Zm00001eb113920_P001
N2.HOG0002301	OG0000546	n21						SORBI_3003G199900			
N2.HOG0002302	OG0000546	n37						SORBI_3005G114600, SORBI_3002G041100, SORBI_3002G041200, SORBI_3005G134501			Zm00001eb203230_P002, Zm00001eb240650_P001
N2.HOG0002303	OG0000547	n4						SORBI_3005G141100, SORBI_3010G195400, SORBI_3010G195301, SORBI_3010G195450			
N2.HOG0002304	OG0000547	n28						SORBI_3010G195500, SORBI_3010G195600			Zm00001eb388020_P001
N2.HOG0002305	OG0000547	n74						SORBI_3010G195800			Zm00001eb387920_P001, Zm00001eb387930_P001
N2.HOG0002306	OG0000547	n76						SORBI_3010G195701			Zm00001eb387960_P001
N2.HOG0002307	OG0000547	n77						SORBI_3007G063300			Zm00001eb413110_P001
N2.HOG0002308	OG0000548	n7						SORBI_3004G157100			Zm00001eb180830_P004, Zm00001eb241930_P002
N2.HOG0002309	OG0000548	n51						SORBI_3008G094000			Zm00001eb133100_P002
N2.HOG0002310	OG0000548	n52						SORBI_3008G094400, SORBI_3008G094300			Zm00001eb408900_P001, Zm00001eb408920_P001
N2.HOG0002311	OG0000548	n55						SORBI_3005G123500			Zm00001eb113080_P002, Zm00001eb170150_P001
N2.HOG0002312	OG0000549	n5						SORBI_3003G382400			Zm00001eb145330_P002
N2.HOG0002313	OG0000549	n29						SORBI_3009G140000			Zm00001eb288190_P003
N2.HOG0002314	OG0000549	n31						SORBI_3009G140300			Zm00001eb288250_P003
N2.HOG0002315	OG0000549	n32						SORBI_3009G140150			Zm00001eb349230_P001
N2.HOG0002316	OG0000549	n34						SORBI_3006G092700			Zm00001eb081900_P003
N2.HOG0002317	OG0000549	n46						SORBI_3004G182300, SORBI_3002G091700			Zm00001eb182440_P001, Zm00001eb182450_P001
N2.HOG0002318	OG0000550	n2						SORBI_3001G265500			
N2.HOG0002319	OG0000550	n14						SORBI_3002G301700, SORBI_3002G301600, SORBI_3002G301500			Zm00001eb321360_P001
N2.HOG0002320	OG0000550	n73						SORBI_3006G028000, SORBI_3006G027900			Zm00001eb087630_P001
N2.HOG0002321	OG0000550	n76						SORBI_3006G027700			
N2.HOG0002322	OG0000551	n4						SORBI_3005G192500			Zm00001eb166680_P001
N2.HOG0002323	OG0000551	n19						SORBI_3010G242100			Zm00001eb225960_P001
N2.HOG0002324	OG0000551	n36						SORBI_3002G336100			Zm00001eb106090_P001
N2.HOG0002325	OG0000551	n39						SORBI_3008G122800, SORBI_3002G320200			Zm00001eb322810_P001
N2.HOG0002326	OG0000552	n2						SORBI_3009G006600			Zm00001eb267200_P001
N2.HOG0002327	OG0000552	n30						SORBI_3009G006500			Zm00001eb356010_P001
N2.HOG0002328	OG0000552	n32						SORBI_3006G082250, SORBI_3006G082300			Zm00001eb422550_P001
N2.HOG0002329	OG0000552	n34						SORBI_3001G160800, SORBI_3001G160400, SORBI_3001G160700			Zm00001eb050950_P001
N2.HOG0002330	OG0000552	n39						SORBI_3009G006400			Zm00001eb267210_P001
N2.HOG0002331	OG0000552	n40						SORBI_3009G006300			Zm00001eb267230_P001, Zm00001eb356070_P001
N2.HOG0002332	OG0000552	n56						SORBI_3009G006200			Zm00001eb027740_P001
N2.HOG0002333	OG0000553	n0						SORBI_3008G017600			
N2.HOG0002334	OG0000554	n0						SORBI_3007G113000, SORBI_3002G212900			Zm00001eb000050_P001, Zm00001eb014620_P001, Zm00001eb026950_P001, Zm00001eb028650_P001, Zm00001eb044680_P001, Zm00001eb049230_P001, Zm00001eb073710_P001, Zm00001eb096180_P001, Zm00001eb096190_P001, Zm00001eb101580_P002, Zm00001eb103280_P001, Zm00001eb109260_P001, Zm00001eb121320_P001, Zm00001eb129950_P001, Zm00001eb137670_P001, Zm00001eb139940_P001, Zm00001eb156430_P001, Zm00001eb158460_P001, Zm00001eb162510_P001, Zm00001eb174050_P001, Zm00001eb188000_P001, Zm00001eb190010_P001, Zm00001eb200600_P001, Zm00001eb203720_P001, Zm00001eb207200_P001, Zm00001eb208280_P001, Zm00001eb217250_P001, Zm00001eb243800_P001, Zm00001eb245500_P001, Zm00001eb272080_P001, Zm00001eb299380_P001, Zm00001eb302790_P001, Zm00001eb308200_P001, Zm00001eb319320_P001, Zm00001eb321490_P001, Zm00001eb324010_P001, Zm00001eb336620_P001, Zm00001eb336780_P001, Zm00001eb349940_P002, Zm00001eb361270_P001, Zm00001eb361280_P001, Zm00001eb365280_P001, Zm00001eb366260_P001, Zm00001eb367380_P001, Zm00001eb371990_P001, Zm00001eb373720_P001, Zm00001eb380670_P001, Zm00001eb382440_P002, Zm00001eb399400_P001, Zm00001eb399760_P002, Zm00001eb407200_P001, Zm00001eb412220_P001, Zm00001eb423230_P001, Zm00001eb427370_P001, Zm00001eb442870_P001
N2.HOG0002335	OG0000555	n1						SORBI_3010G259300, SORBI_3010G259600, SORBI_3010G259500			Zm00001eb227640_P001
